job_id,title,company,work_mode,job_type,Skill_Set,Language,City,District,Country,Industry,Job_Title,Mapped_Skill_Set
4171026700,Data Analyst (m/f/d),PAUL Tech AG,On-site,Full-time,"Python, SQL, Power BI, Tableau",English,Berlin,Berlin,Germany,Product,Data Analyst,"SQL, Python, Tableau, Power BI"
4175583816,Data Analyst (m/w/d) ,Ströer SE & Co. KGaA,Remote,Full-time,"SQL, Databricks",German,Hamburg,Hamburg,Germany,Sales & Marketing,Data Analyst,"SQL, Databricks"
4176836312,Data Analyst,Not Found,Remote,Full-time,"SQL, Statistics",English,Unknown,Unknown,Germany,Unknown,Data Analyst,"SQL, Statistics"
4175509257,BUSINESS INTELLIGENCE ANALYST (M/F/D) ,METRO Markets GmbH,Hybrid,Full-time,"SQL, KPI, Power BI, Tableau, Looker, Statistics",English,Düsseldorf,North Rhine-Westphalia,Germany,Sales & Marketing,Data Analyst,"SQL, Tableau, KPIs, Power BI, Statistics, Google Data Studio"
4172918760,BI / Data Analyst (all genders),Distribusion Technologies,Hybrid,Full-time,"Pandas, Python, SQL, Google Cloud Platform, Cloud, Power BI, Google Cloud, Airflow, Ruby, A/B testing, Tableau, Google Data Studio, Looker",English,Berlin,Berlin,Germany,Product,Data Analyst,"SQL, GCP, Airflow, Tableau, Python, Power BI, A/B testing, Ruby, Google Data Studio"
4117626792,Data Analyst (m/w/d),Artefact,Hybrid,Full-time,"SQL, Adobe Analytics, Google Analytics, Cloud",English,Hamburg,Hamburg,Germany,Sales & Marketing,Data Analyst,"Google Analytics, SQL, Adobe Analytics, GCP"
4149908431,Data Analyst (m/w/d),torq.partners,Hybrid,Full-time,"SQL, Power BI, Tableau, Google Analytics, Looker, Excel/Google Sheets",German,Berlin,Unknown,Germany,Sales & Marketing,Data Analyst,"SQL, Tableau, Excel/Google Sheets, Power BI, Google Analytics, Google Data Studio"
4149905702,Data Analyst (m/w/d),Education partners GmbH,Hybrid,Full-time,"SQL, Power BI, Tableau, Google Analytics, Looker, Excel/Google Sheets",German,Berlin,Unknown,Germany,Sales & Marketing,Data Analyst,"SQL, Tableau, Excel/Google Sheets, Power BI, Google Analytics, Google Data Studio"
4145767499,(Senior) Data Analyst / Scientist (m/w/d),Dr. Wolff Group,Hybrid,Full-time,"Python, SQL",German,Bielefeld,North Rhine-Westphalia,Germany,Product,Data Analyst,"SQL, Python"
4170838336,Junior Data Analyst (w/m/d) ,GLS,Hybrid,Full-time,"KPI, Excel, Tableau",German,Eschborn,Hesse,Germany,Sales & Marketing,Data Analyst,"KPIs, Excel/Google Sheets, Tableau"
4070130794,Data Analyst Logistics (m/f/d) ,ABOUT YOU,Hybrid,Full-time,"CI/CD, Python, SQL, Tableau, cloud data platforms",English,Hamburg,Hamburg,Germany,Sales & Marketing,Data Analyst,"SQL, Python, Tableau, CI/CD"
4125912087,(Senior) Data Analyst (gn),Bikeleasing-Service Deutschland,Remote,Full-time,"SQL, Looker, Tableau",German,Unknown,Unknown,Germany,Sales & Marketing,Data Analyst,"SQL, Google Data Studio, Tableau"
4175140163,Junior Data Analyst (m/w/d),ELA Container,Hybrid,Full-time,"Python, SQL, Power BI, Excel, Tableau, R",English,Haren,Lower Saxony,Germany,Product,Data Analyst,"R, SQL, Tableau, Excel/Google Sheets, Python, Power BI"
4177963926,Data Analyst (m/w/d),Protection One GmbH,Remote,Full-time,"SAP, Python, SQL, Power Query, Power BI, Microsoft Power BI",German,Monheim,North Rhine-Westphalia,Germany,Sales & Marketing,Data Analyst,"SAP, Python, SQL, Power BI"
